labels,cleaned_comments
negative,сама дура
positive,ещё просто люблю гифку готова пихать везде
neutral,литва пыталась закрыть белорусскую аэс получилось видео
negative,человек заебался ультимейт дед
positive,чтим гордимся помним виват герою
neutral,зависит поведения вообще это вопрос
negative,хочу кушоц кушоц мои акварельные карандаши маркерами которые сдохли блять иду свои слёзы
neutral,достаточно случайно поставила одну лучших обоек
neutral,пап
neutral,горячая линия противодействию коррупции состоится сентября нижнем новгороде
skip,ббт
neutral,вальеджо обложке первый увидела
neutral,честно маликова
positive,сорвала джекпот походу
speech,сладких снов
neutral,второй мимо делается одобрения неформалы автоматически свои
positive,могууу просто накидала цвета скетч
skip,шинээр одон мэндэлжээ хэнд ямар хүнд олгогдохыг таамгалах буйзаа
neutral,подумали мамой пока гости придут выпить
negative,нихуя смотрю понимаю
neutral,бордомыхский дог ваш дед
neutral,апжахахааоиа
positive,дай обниму
negative,бля второй час дня добрался нужного дашборда понедельники тяжело привет корпорации гугл достала
positive,притащила вчера домой роботпылесос вопрос родителе коробка сказала это новый год
neutral,везу бабушкины огурцы помидоры домой засолили лето
neutral,закончу журналистику ворвусь команду навального
skip,ощущением просто бро
neutral,тысяч билет сочи откуда летели
skip,оруулаачээ гуай
negative,днищще
negative,просто блять сижу
neutral,верно просто хотят вспоминать
neutral,скорее самой разобраться пытаюсь
negative,хуйня
neutral,омг
neutral,полюбас лирику поменяли меняют обычно надеюсь
negative,бля надеюсь ирина таки подаст суд
neutral,почему делала тупые вещи пару целом плохого скорее наоборот
neutral,дааааааа
positive,прочитала такое красивое ханахаки
neutral,тебе написал
positive,югре появились целых новых
positive,ваша свадьба похожа пытайтесь приглашать
negative,начинаю недавидеть всё
neutral,лера
neutral,теневой премьер совбезе
neutral,просто боялся
skip,две
positive,красивая
speech,днём рождения
positive,хочу толстовку которая пропитана фордами
negative,кусай богу можешь наступить
positive,влюблён
neutral,евреи совки
neutral,liafrio самолёт
skip,намайг хүн анфолловдож харсан чинь ихэнх твиттерээс устгасан байна
positive,кухня многих народов
negative,нахуй блять майор пиздец
neutral,кажется слышу воет гарри
neutral,пишешь слово давай автоматом светится эмоджи
skip,аялгуут сайхан монгол хэлээ маш мэддэг гэж бодож явтал үсгийг ихх гэж уншдаг болсын байна гэж инээдэг хүн иха иха гэж инээх
neutral,этим делаю временное убежище скале которой строю стеклянные комнаты
positive,ладно правда спать спокойной ночи моего любимому видео
negative,довели
positive,скулу ухом перенести немножко кажется идеально
negative,насосала зачеркуто надонатила
skip,такое блаженство сдавать последние домашки понимать делать кроме подготовки сессии
neutral,спать собирался
negative,почему забывают сделать одни хотя напоминала просила орут итоге доёбы втф
positive,кажется создала шедевр
negative,всё начинать искать новую работу
negative,смогла купить серьги черепашками
negative,заплакал смотря видео печальные истории сильных людей
negative,бля посиди телефоне
negative,сказать твиттер головной боли добавляет
positive,лето мое лето жду
negative,ужас
neutral,хочу пересмотреть шрека
neutral,мистура мухаммада бубов небесных жён
neutral,неделе обещали исправить
neutral,экономика карантин выживать бизнесу кризис новости
neutral,чонин
negative,короче расстройстве чувств 32к 22к ибо хуета
neutral,зарабатывайте сутки yobit investbox попробуйте
neutral,аминь
positive,страшного
speech,рада стараться считала свой голос красивым спасибо
skip,дыжфлвчвьфдфыылышеыщнащрс
neutral,это групповые это самые приличные
negative,понимаю никто скучал
neutral,сплю полу
neutral,новокузнецк поедем
neutral,фильм смотреть
positive,изменилась
negative,блять завтра должны начать репетиции барабанщик шота сломал
negative,пиздец
positive,просто взял сделал ага объяснение кривое плюсик хотя попытку
positive,понеслась
negative,верил пойдут матное слово матерюсь сами поняли
speech,спасибо
negative,откуда знать щегол
positive,стерлитамаке семьи получат выплаты размере 250 тысяч рублей
negative,очень плохо очень грустно столь неинтересной персоной твоих знакомых хватало максимум пол года
neutral,дышать
speech,сил удачи
neutral,это слова знаю капец феликса научилась иначе
neutral,ещё верю приходила академию учить танец просто произошло
neutral,кевин оуэнс показал переписку сэми зейном оба
positive,нормальная палатка
neutral,апххахп отбой это возле падика друга
positive,полностью поддерживаю
negative,увольнять бардак
negative,пусть расскажет диагноз людям учитывая резонанс обязана это сделать
neutral,семён петрович сбросил маску хирургическом столе ангел смерти побледневший упал руки медсестры андрей ловчиновский
skip,сук ору
neutral,участкового подключить типа почему брать двойным измором
neutral,поднял руку маленького скорее бережливое отношение
neutral,получается
neutral,решила амино выкладывать итоге фавов незнакомых людей мьюч
neutral,это всем мире
neutral,доброе утро девочки дела девочки спалось девочки
neutral,арцизе пересмотрят тарифы воду
neutral,смыслу грустных песен last stand например
neutral,приколу сделала
positive,оооо ясноо это красиво
neutral,возьмите третьего лишнего
negative,градусов либо упаду улице либо упаду помещении
negative,лазарев судьбоносец шоу решается судьба человека
neutral,бамболейло
skip,вздох
negative,очень надеюсь кокорина весной спартаке нужно отдать шамилю качестве неустойки добавить сверху пиздюлями
skip,забудешь
skip,буду надеяться стану студентом смогу накопить
positive,тебяяяя невероятно сильно
negative,страшно
neutral,сдаю квартиру этаж 200000 руб москва метро маяковская
neutral,жемчужная
neutral,парней видео имел ввиду наверно понял твит
neutral,лакорны сф9 нст гаты
neutral,илона ужасно жду лета
neutral,камчатка съела рафаэлку
neutral,права это должно остаться секретом
skip,хида рассказывает канеки гулях канеки момент
positive,самый лучший
negative,ууууу скучаю
positive,пью бутылочку пива
skip,это
positive,ахахаххахахахахахахахахха
negative,кажется такая депрессивная бич поч кажется
positive,красиво рисуешь интересный аккаунт снова ахуеваю твитов очень милая удачи тебе всем
neutral,судьба человека выпуск
neutral,надеюсь красота завтра растает успею пофотографировать
speech,спасибо
neutral,знаете знаете
positive,хочу завтра купить куриные сердечки приготовить
neutral,ребят главный адепт фремионы
neutral,алина
negative,мкадом жизни ехать вникуда согласна смотрел говорят мужчины
neutral,это районе российского
neutral,знаю это треки
negative,возможно это самый страшный день моей жизни учитывая ещё общаге произошло
positive,ыхыхых радует одна жирках
positive,это прекрасно
negative,нахуя
neutral,извините такие мью разбираюсь
negative,соболезную всем московским этому поводу
neutral,пусть показывает силу поедет ростов
negative,блин
negative,самый главный орионовский проёб знаете чём русской тиме девушек
neutral,согласна
positive,передала очень рада
positive,хпхахв это даа фром инсайд боже припев отвал
positive,закрываю глаза вижу шпагат рыбалочке
positive,уснул просыпался посреди ночи пару уснул проснулся половину десятого класс
neutral,пьер написал запрос лизой
neutral,макгрегор серроне показали одинаковый вес поединком
neutral,дикси сеть супермаркетов фрязино мира проспект
negative,сожрали литра бренди самогона вискарь перешли
neutral,хороший бизнес вложений
skip,садыр жапаров кыргыз президентти каналга жазылгыла via
neutral,нëм узнала месяц назад дайте время посмотрю всë посмотрю
negative,громкий вброс соловьёва опровержение стороны кпрф левые лейбералы
neutral,сша испытание россией владимира мономаха назвали превью конца цивилизации
positive,ржу голос спасибо сегодня выиграли великолепных твитов трампа
negative,порядке
negative,бедный брад
negative,afraid это вообще отвал
neutral,уведомления приходят текста вижу
negative,забирай свои игрушки писяй горшок
positive,цэчжоу пирожные кофе очищают душу доказано опыте
positive,казане собака поймала рыбу прямо городском пляже
negative,вчерашних попрыгушек болит голова полтора часа перерыва такого развлечения многовато
positive,красавица правда
positive,гуд лак
neutral,еду пугайся
neutral,итак дамы господа стоит вопрос оформлении кредитной карты какого банка можете посоветовать
skip,выяснять смотрите соседей полный копипаст
neutral,испытала странное смущение купив магазине огурец
negative,тебе кости сделали
positive,сделала давно сразу стало дышать легче лента стала чище свободнее
negative,зачеемм нееетт это ошибка уходи оттуда аахахах
neutral,кажется подружка посмотрела жожу
positive,вау здорово
positive,подруга выбивала виски затылок вообще впервые машинку руках держала ахах
neutral,сказала
neutral,альберт эйнштейн жизни носил носков
skip,стоп реально кудряшки блонд выше обоже
positive,доволен можешь сомневаться
skip,аллалалалал
negative,темная глаза вытекут светлая
positive,приятно
positive,самое оригинальное моторное масло
positive,реально кем встретиться посетить легендарный
positive,мамзель смирилась мужской одежде хожу ахах
negative,хуйню придумали мувмент новосибирск завтра совершаю
positive,кажется влюблена
neutral,понял
skip,шар сүүг уудгүйшдээ
neutral,это
neutral,германия общей сложности выделит трлн евро
negative,baldur gate кадры игровым процессом утекли сеть фото видео
neutral,видели
negative,каждый страшно идти приём новому врачу нервы грани меньше переживала сказали скоро сдохну
neutral,оповещения стоят
neutral,уджинпердун решила поддержать фанатики чистят
neutral,нового обычный набор штампов собственного изобретения
neutral,верь председателем егорова очень занята
negative,блять включили чеканную монету снова моей голове
speech,спасибо солнце
skip,корона цаашаа
positive,это stage
neutral,узнали молодого павла волю
negative,телеге говнопоэт
neutral,microsoft представила пользовательский интерфейс приставки xbox seri
speech,всем сладких
positive,оуф крутой тред хотелось продолжения
neutral,сказал аниме
skip,оонхо хурдан алголчхы
negative,чел ого труп
skip,вспомнился анекдот помидоры
skip,многом прошу просто дайте килограмм крабовых
negative,стойкое ощущение подражает подросткам самом деле увлекается подростковой хернёй
neutral,видео первый круг хэмилтона новой merced w11
skip,наверное ипишка
positive,это точно
neutral,поднять мишутку
negative,причина номер миллион почему люблю спать дома холодно блять пиздец
negative,безработными денег
neutral,смеётся
neutral,карантине алексей серов группа дискотека авария
positive,любовь такая sencalkapımı
skip,новости данный момент температура выиграла работе билет концерт макса барских
neutral,серпуховичей информируют автоматическом продлении жилищных субсидий
neutral,интернет чаты блоги социальные сети новости приложения tiktok
negative,хомячье пошло прививаться досталось
negative,нам просто прислали хренову тучу заданий всщ
positive,классная футболка
skip,скучаю игре укулеле
skip,отстал родимый
neutral,вообще непонятно играет
neutral,коротко обо уроках математики
neutral,марьян твиттере
negative,хейтим утро
negative,проснулась устала
negative,эрик вса таки выбрал рахима блять
speech,рад помочь выздоравливайте скорее держите курсе
skip,смотришь спидпеинты ютубе
neutral,комментарии
skip,безрукова метит
skip,люблю леннона бля крутая стена
negative,творишь
neutral,подработка армии
neutral,достижение идеала промежуточных стадий маловероятно
negative,статья простите ужаснуться
positive,хочу нить такое жареное сочное острое
skip,хияр бадымджан
negative,твит ненависти драугам криком разоружение
neutral,обед
negative,итак дома остались энергетики кофе немного майонеза остальное
neutral,заглавие опроса хотя циферкой включить опросник
negative,допросе орать будешь
neutral,мужика найти хотят женскими именами пишут
neutral,хочу собаку
neutral,возможно
negative,прежде взошла заря рабы прикончили царя
positive,влюбленность это
skip,хогуки вперде
skip,омо
positive,дашиной щёчки пахнет клубникой
skip,прекрасная семейка bighit
neutral,выдра
positive,зато
neutral,вирус короне помощью
neutral,зная могут
negative,сегодня весь день рыдаю
positive,бантаны возвращайтесь хочу снова
positive,аааааа лето спасено благодаря исину
neutral,тобой слежу
skip,желтые аче
positive,сегодня тропики пару часов попали
neutral,надеюсь таки эпидемия орви этим заболела
neutral,это пейринг
negative,господи это тьма сошедшая средиземного моря накрывает ненавидимый прокуратором город жуть это такое
positive,ааав
positive,боюсь писать своим фолловьте
skip,листаю значит тикток
neutral,вчера хотела поход сегодня хочу ламповую тусовку кухне выходить балкон курить разговаривать жизнь
positive,капец смеюс
positive,порядке должна извиняться просто удивилась посмеялась
neutral,оккультный кашин
neutral,детям родившимся 2010 году
positive,самый красииииивый
positive,агрессивно сохраняю
neutral,использую тачпадом удобно лет назад такая шутка программерская
skip,брух страшного кажется это норма большинства художников ибо капец
negative,500к значит сядут
neutral,посмотрели поэтому требую
negative,изнасилован обращён католицизм
negative,это тебе дебилизоре рассказали девонька
speech,боже спасибо тебе солнце
neutral,новости ингушетии сегодня скандал актуально жильцы общежитий назрани
neutral,дачный бассейн
negative,наступил сберу голодец
neutral,проблема невозможностью выйти безопасного режима
neutral,съедаю одну шоколадку пару конфет две недели оно портится
neutral,напишешь ближе
speech,спасибо
neutral,самый человек которого друзья лет просто перестал выходить гулять вообще
negative,собираюсь прыгнуть огонь скучаю сезону
neutral,запуталась таких делах написано
positive,милун тюю
neutral,щас буду watermelon сильно завидуйте
neutral,будешь делать ножницы монитором
speech,спасибо
negative,пусть решить вопрос арцаха азербайджанские войска наёмники километрах шуши знает решить
positive,считаю милая супер милая
positive,рада вернулась
neutral,ребятки лимит подписок дает подписаться ждите
neutral,поняла молчу
neutral,причина
positive,носик твои руки золотоооо великолепно рисуешь
neutral,любимый невыносимый
speech,спасибо совет
skip,спасибо хочу скинуть настолько рич шугар момми фффф
positive,это кстати одна причин почему джоджо
neutral,медик автоматом
positive,крутой день
neutral,всё чисто интуитивно честно
skip,шиг одоо үзэж байгаа хүн байна
positive,душе сразу стало теплее
negative,блять
positive,увидела селку ленте стало тепло
negative,долбоеб который пытается переписать историю
negative,москве станции лермонтовский проспект погибла женщина
skip,господи реально скабеевой эфир вышли
positive,смотрю падает снег твои плеееечи безупрееечен сегодняшний веееечер
negative,запрещаю тебе умирать
neutral,это это
neutral,сне прохожу мимо сказав
neutral,добро
negative,холодно
neutral,курочка актуальнее
positive,надела
positive,tale wind отправляйтесь путешествие спешите навстречу приключениям вместе друзьями
positive,девочки давайте обниматься
neutral,самые необычные фены волос
negative,смысле похороны хочу посмотреть сцену snatch свинарнике главной роли
skip,блядь девочки ору
negative,сука норм
negative,блять проебала кусок текста аудиокниги заново пускать
neutral,главный биас группе
positive,блин вторая девушка смог соблазнить твиттере
positive,плачешь позволь утереть твои слёзы
negative,трепач
neutral,кинь
neutral,смене статуса места учебы обязанность студента заканчивается
neutral,почему
speech,поздравляю
negative,бань
neutral,минимум
neutral,комфортно
neutral,декабря
negative,посмотрим доживу запорожья будут силы убегать правых
skip,бороться непреодолимым желанием купить
negative,твоя блядь порода печёнке суши сидит твари ебаные
neutral,увидим пруфы
positive,оооооу
skip,блябялбялябл писк ушах спасибо всд помянем
neutral,твиттер существует узнавать жива падружки хахатушка
negative,долбанулись однако
neutral,осталось согласие седжуна
positive,также блинчики готовлю
neutral,скажем уважаю могу сказать прям люблю люблю могу сказать
neutral,туда 10кг приорити около 77франков коробка купила почте прочные
negative,самом деле жалко субару умер время первой попытки мило
neutral,опубликовано фото
speech,спасибо
negative,почему снился сеул хватит издеваться мной
negative,хэллоуин везде вообще хэллоуин
skip,түймрээ жиргээч
negative,понимала людей относящих одежду гендеру типа это лишь кусок ткани охлади своё траханье
skip,знаю поправки бог конституции
negative,пиздец прикольно жил туда сюда стране разъезжал получал пиздюлей александра первого конце концов помер дуэли
neutral,шалом найконос пермь чей
negative,серьёзно рассуждать тебе любовь нахуй твоё дело
neutral,россии предложили запретить кальяны коронавируса
positive,поделилась ваней снами оказывается снилось беременна
neutral,палевно
neutral,девочки происходиииит
negative,копеечные проекты никому нужны красть нечего это аксиома нашей действительности
negative,думаю муравейника извращений
positive,наш
negative,пхах китайщины давно видел мастер чиф
neutral,это обязательно солнышко просто начну смотреть самого начала
neutral,кому
neutral,неправда аутфите говорю
skip,ааааа нася твой мозг seventeen 세븐틴
neutral,стало интересно
positive,новый любимый смайлик
positive,омг мама делает плюшки весь дом пахнет плюшками плюююшкиии
neutral,продам вторичку этаж 1500000 руб узловский дубовка островского
positive,пацанок посмотреть решила
negative,каждый грех сильнее хитрее предыдущего снизу вверх мере роста коварство греха всегла скрыто
negative,явно повидал жизнь внешкой
negative,биавгуст проебан называли радфем радфем решил назвать ебанутыми матчасть who радфем who
negative,мелкий бизнес видимо швецию прям молится
negative,ходу дебил
negative,пока заказывайте гроб
negative,смотрела озвучке женился ещё рано замуж плачу
skip,прошлий всіх поміняли
neutral,треснула
negative,сегодня биологии истерично начала ржать хотя хотелось лишь плакать
skip,пофег
positive,похорошела жена реввы собянине
neutral,хулиганами осуждёнными народом
negative,ttgl визуал
negative,это часто происходит бантанами
neutral,правда собираю наградные одну папочку везде угодно
skip,стипса
neutral,бэнээнщик
neutral,месяц хожу
skip,сэлэнгэ аймаг ерөө ажилтай анхиатай мундаг хамаатан минь шүү
positive,нашла англа чела которого смешные видел исключительно японском
neutral,чувство незнакомые люди понимают какого пола обращаются думаешь очень уважают
positive,знаете мысль пришла круто поиграть баскетбол баскетбол который играл лет
negative,гадс меню
neutral,можешь рассказать
positive,это охуенно
neutral,простой ингредиент который сделает цемент крепче
negative,умерла
neutral,хехе московское значит просто час вперед час
neutral,проще фальсифицировать
negative,пиздеть ахахаха могу задушить одной ляшкой ыыыыы
neutral,просто нечего сказать
skip,обезьянка моей голове хлопает ладошки время пары энергосбережению голове происходит
neutral,стоп почему неё чёрные
negative,это который офшором виргинских островах это разоткровенничался
skip,изненадувачки добар пиши баш утре импресии
negative,ебаный чайнаюик ставить заебал
neutral,завтра стриме буду учить молодежь основы куколдианства мапцука
positive,супер выпускной альбом получился
positive,учитесь
skip,меняй
positive,зато крыло ниче получилось
positive,табун мурашек пробежал телу вспомнила ходила кольцом однако волнительно
negative,сидим короче дурилки включили винкс
neutral,глава находится сюнике вдоль границ ведутся работы размещению погранвойск
skip,готовы проебать август дети капитан
neutral,кому зайдут
skip,посакав тебе оствари
neutral,прорывного цифровой экономике
negative,леха минска блять сакура конохи
skip,звонит друг беру трубку нурбану айжянь пачиму тяк часта прападайшь
skip,яяяяя простите
negative,коем случае сру автора поста рабочих просто доебало такое происходит постоянно
neutral,география общая история учебник класс
negative,пожалуйста отдохни
neutral,ещё сегодня случился очень странный видос
positive,щеки порвались
skip,твоя грудь
neutral,пост
neutral,никакую
neutral,выглядит слишком неправдоподобно
neutral,пойти волейбол смотреть
negative,пожалуйста скажите одна сижу постоянно дома ухахвхсх магазин выхожу
skip,прости
negative,блять
neutral,твои белочки
skip,поэтому пока
neutral,раньше записи доступны онлайн
neutral,главное владимировна
skip,хүн цөөн ноолуур чанар сайн
positive,купите вкусненького
neutral,решаем тестики зно украинского никакова суицида
skip,хахахахаха
positive,жизнь твои уроки ходила
neutral,президент союза архитекторов рассказал перезахоронят ленина
neutral,мейнаху сегодня
neutral,пффф рубль это целое состояние
negative,знаю сделал отношению имеешь право писать бывало
positive,срочно нужно фото гайча маги рядом
negative,хватает любви
neutral,жителям дона пояснили соблюдать режим самоизоляции нарушение
skip,хааххезппх
positive,идеальнейший плейлист куча алкоголя моим сахарочком будем косплеить
neutral,тушка вкусвилл халяль охлажденная вакуумной упаковке
neutral,маша давай читать концерт меладзе плиз
negative,старый
speech,споки
neutral,вроде нормально чувствую
skip,мууранд дуртай асуудалгүй байна манай талд эртхэн ороорой
negative,жалко модель
negative,ужасная поэтому извиняюсь бля заслужила можешь прощать пойму
skip,гэртээ харих зам
negative,анестезия ушла загоны остались
neutral,идеи
neutral,хочу туда доехать летом
neutral,ещё собиралась попасть карабахе
positive,слушай лайкать фотки
neutral,ладно это субъективно
skip,всмысле
negative,согл поддерживает беливеров странная личность
positive,обои жожей это тупо любовь
negative,провести обряд пустышка станет материальной проекцией вождя всё красть
neutral,фея животных найдена
negative,дак морды другому считать могут
positive,девочка кокетка стреляет сердце метко
neutral,читаешь тебе холодно жарко
negative,тяжела жизнь биаса одной группе
skip,чиний бодол тиймэрхүү шуум гараад байна
neutral,контроль вышел пошел вернись
negative,сценаристы убьют джагхеда тупо прилечу америку засуну бутылку рома лодж одно интересное место ривердейл
skip,баруун хойшоо ганц гялтганаал аогаолчлоо хожимдрж ганц даравшд
neutral,суп должен горячим замороженным
negative,срала биологию
negative,какого хуя лето думала скз песня называется писмейкер пейсмейкер
positive,улыбается
negative,персонаж умирает милота вообще
positive,ещё очень нравится клип
neutral,это сгоряча импульсивный молодой человек
positive,среду забрали окс дачи праздники закончились
skip,урлагийн авьяасаа сонирхуулна баярлалаа
positive,ахуена пасиба
positive,радует курс европейских держав румынии молдавии зря небесная сотня
negative,скажем мои стихи персоналия ужасно ошибаетесь господин греч
neutral,точно съем
negative,млн москвы млн работает это столица голова
positive,каток волшебный btsweek
positive,альбом ещё вышел отвал
skip,матна вода негази
neutral,бате сказать
negative,какое ура знаю
neutral,догадайся
skip,уву нашла оно бантантв
positive,мощььь
positive,весну приманиваешь
neutral,смотрю
skip,txt группа eternitypreview 3daystoetern
negative,бля аххпхаххпх
speech,отдохни возвращайся getwellsoonyoongi
neutral,дым отечества 1993 москва
skip,бро
neutral,делаем сами видим
neutral,пообедали логистом ждём приедет доставки водитель привезет нам шавуху
neutral,решил отказаться брендов продвигающих лгбт поветску можешь купить военную форму стран нато
negative,очистился воздух стране этих паразитов отправили валить лес
negative,такая красивая никто пишет прям обидно
neutral,выходные
positive,впервые каникулы села проект могу похвалить
neutral,нормально говорит koronowiru covid2019 funni смешно коронавирус подписка instagram
neutral,аудитория небольшая богаты рады
negative,прикольно спела песню песня сукам везёт
neutral,спать
skip,фразы хочу посмотреть тупой фильм
negative,врушка значит
neutral,сегодня центральный рынок мёртв раньше купить всё ранак
neutral,думали
neutral,тока скажи магистр одна вещь издательства спасала
neutral,цвет жизни зеленее должен фотографировать сказано ахренительно слушайте давайте наоборот
negative,снова ненавижу весь мир всем спасибо спокойной блять ночи
positive,ебаный боберный прекрасна джилл валентайн
positive,это нравится
skip,окей запрещаю забывать вихоупы однажды целовались
neutral,программа россия сегодня город футбола барселона russian onlin
negative,людям которые делают никуда торопятся живут свое удовольствие жаль чужое время ценят
skip,андаа дээр тахианы мах гээд бичцэн байгаа
neutral,норм
negative,дабдабдаб почекала
positive,бля нравится эта фотка
speech,спокойной ночи паписчески
neutral,вия случайно вызови
neutral,инструментал 1975 это разрыв
speech,спасибо солнышко
positive,скучаю эксван произойдёт долго ждём
neutral,настолько конченный купил гречку доставкой перекрёстка
neutral,решаю дуолинго забыл слово итальянском поэтому написал немецком победим ленгвофилизм
neutral,йой
neutral,собирала знакомым
speech,пивет пивет
neutral,вышел
positive,теща звучит задорно
skip,юнхо пон
negative,тлтр агентша безродная хартсикер появилось имя смагглер официально
positive,кажется команда терушимы такие весёлые позитивные ребята
negative,презика давно освистали сколько лет прошло боя емельяненкос монсоном
skip,сисек размера россии либо выплаченных кредитов машину
negative,уроженка россии стала женой расчленившего журналистку датчанина
neutral,расскажи какие
neutral,правда интересно проходит карантин
positive,1го пожарили съели
negative,нэнси джонатан расстанутся вскрою вены
positive,красавица
positive,новая фишка фортнайт jamsid benjyfishi каравай fiv via
positive,сначала захвати кофе весь мир
skip,ахахахаххаахахха
neutral,ссср секса
neutral,это
neutral,духовность вместо легалайза путин борется наркотиками
neutral,персиковый
negative,моей смерти прошу винить российскую федерацию
negative,блять реально продажное королевство
neutral,адвокат ефремова признался текст видеообращения написал текст
neutral,поделитесь вашим опытом посещения психолога науки
neutral,околпачивать это прадедов наследие
neutral,проблема взять дешевый народный mx500 1tb годик пересесть nvme 970 eco plu
neutral,кихира способна дать нашим бой показал чемпионат остального мира
negative,вся лента новости верните прошлое
neutral,олл позвоните нам
neutral,это откуда
negative,стоп навальный коме
skip,хочу таймскипнуться стонкс куроо кенмой
positive,переживай
neutral,андрюша грустит синица ксюши расстраивается
neutral,оценилa городскую новинку электробусы курсируют маршрутам проекте активный гражданин
negative,всем привет неделю кризиса среднего возраста толстые щёки
positive,использовать подсветка
positive,медленно делаю это надеждой получится говно
neutral,хоуп заслуживает джози обижала боролась
neutral,провёл сегодня утром исследование общем гендера
negative,новостях пишут многодетная семья живёт подвале духе возникает вопрос
positive,мимими просто надеюсь ретвитоспам никому мешает наслаждаться лентой это жизненно необходимо
neutral,перебрал варианты своего имени ниче подходит поэтому надеюсь норм
